index,City,Lat,Lng,Max Temp,Cloudiness,Country,Date,Humidity,Wind Speed
201,guangyuan,32.43,105.86,34.93,80,CN,1542665006,91,3.13
202,kuhdasht,33.53,47.61,42.8,0,IR,1542660660,93,2.13
203,saint george,39.45,22.34,48.2,20,GR,1542660600,93,3.36
204,misratah,32.38,15.09,70.97,24,LY,1542664820,73,12.64
205,pedasi,7.53,-80.03,78.27,92,PA,1542664851,100,4.36
206,grand gaube,-20.01,57.66,75.2,40,MU,1542661200,83,4.7
207,mareeba,-16.99,145.42,77,20,AU,1542661200,73,9.17
208,saskylakh,71.97,114.09,-24.61,0,RU,1542663967,37,14.65
209,porto walter,-8.27,-72.74,76.42,68,BR,1542665007,97,1.79
210,fortuna,38.18,-1.13,57.2,75,ES,1542663000,82,6.93
211,ereymentau,51.62,73.1,15.35,20,KZ,1542665007,84,10.4
212,majene,-3.54,118.97,83.62,8,ID,1542665007,98,9.4
213,lerwick,60.15,-1.15,46.4,0,GB,1542662400,87,2.24
215,manacapuru,-3.3,-60.62,92.04,20,BR,1542665008,50,4.14
216,chumikan,54.72,135.31,9.05,20,RU,1542665008,100,13.87
217,avarua,-21.21,-159.78,78.8,40,CK,1542661200,69,9.17
218,vigrestad,58.57,5.7,37.4,75,NO,1542662400,86,8.05
219,shahpur,22.19,77.91,69.54,56,IN,1542665009,75,3.13
220,davila,18.47,120.58,71.6,40,PH,1542661200,94,2.24
221,ribeira grande,38.52,-28.7,57.2,20,PT,1542661200,71,8.05
222,benguela,-12.58,13.4,76.64,8,AO,1542665009,100,7.94
223,mersing,2.43,103.84,74.62,48,MY,1542664810,100,4.14
224,manzanillo,20.34,-77.12,84.84,0,CU,1542665009,93,9.4
225,salinopolis,-0.61,-47.36,83.04,76,BR,1542665010,92,16.67
227,tiksi,71.64,128.87,-19.93,32,RU,1542664548,86,3.13
228,inirida,3.87,-67.92,81.5,56,CO,1542665010,81,2.68
229,gornopravdinsk,60.06,69.92,13.33,68,RU,1542664638,83,4.14
230,kodiak,39.95,-94.76,42.08,90,US,1542660780,57,14.99
231,vanavara,60.35,102.28,-7.74,56,RU,1542664599,61,5.59
232,palmas bellas,9.23,-80.09,78.8,75,PA,1542661200,88,3.36
233,bathsheba,13.22,-59.52,82.4,40,BB,1542661200,74,24.16
234,kieta,-6.22,155.63,78.85,0,PG,1542664639,100,4.59
235,kano,11.99,8.53,68,0,NG,1542661200,56,3.36
236,antofagasta,-23.65,-70.4,64.4,75,CL,1542661200,72,12.75
237,robertsport,6.75,-11.37,82.32,8,LR,1542664561,100,7.94
240,hambantota,6.12,81.12,76.37,80,LK,1542664571,100,4.92
241,digby,44.62,-65.76,42.22,92,CA,1542665011,100,8.16
242,klaksvik,62.23,-6.59,44.6,68,FO,1542662400,87,12.75
243,leo,11.1,-2.1,77.9,12,BF,1542665012,73,2.91
245,norman wells,65.28,-126.83,14,90,CA,1542661200,78,13.87
246,amahai,-3.31,129,76.74,80,ID,1542665012,100,5.93
247,muriti,-1.99,32.93,75.2,75,TZ,1542661200,78,4.03
248,cidreira,-30.17,-50.22,68.19,0,BR,1542664596,68,7.38
249,mapiri,-15.31,-68.22,55.9,92,BO,1542665012,100,2.91
250,araouane,18.9,-3.53,77.19,100,ML,1542665013,35,5.48
251,sola,58.89,5.65,37.4,75,NO,1542662400,86,8.05
252,biak,-0.91,122.88,75.07,48,ID,1542664769,100,2.68
253,zambezi,-13.55,23.12,70.89,20,ZM,1542665013,81,6.15
254,santa pola,38.19,-0.56,57.2,75,ES,1542663000,82,6.93
255,bilibino,68.06,166.44,-27.99,20,RU,1542665013,0,2.35
256,tarbagatay,51.48,107.36,-0.41,20,RU,1542663000,77,3.69
257,daru,7.99,-10.85,75.02,36,SL,1542665014,83,3.91
258,husavik,50.56,-96.99,9.69,0,CA,1542664819,96,4.25
259,guca,43.78,20.23,32,90,RS,1542663000,86,2.24
260,lokosovo,61.13,74.84,7.25,80,RU,1542665014,85,3.8
262,coahuayana,18.62,-100.35,84.43,0,MX,1542664524,29,2.91
263,ibotirama,-12.18,-43.22,88.12,12,BR,1542665015,35,4.25
264,santa lucia,39.93,9.66,51.8,20,IT,1542660900,87,11.41
265,solwezi,-12.18,26.4,65.22,20,ZM,1542665016,84,7.38
266,ayabaca,-4.64,-79.72,63.69,88,PE,1542665016,97,2.13
267,talaya,55.79,84.89,12.39,88,RU,1542665016,86,7.94
268,ambilobe,-13.19,49.05,70.52,0,MG,1542664835,91,4.14
269,san joaquin,10.59,122.14,73.85,92,PH,1542665016,95,7.38
271,tanout,14.97,8.88,68.09,20,NE,1542664750,19,8.72
272,roald,62.58,6.12,41,20,NO,1542662400,93,5.82
273,taoudenni,22.68,-3.98,65.8,0,ML,1542664756,55,7.83
